event_id,timestamp,host,source_type,event_type,severity,source_ip,destination_ip,destination_port,request_method,status_code,payload,session_id
6a24f570-15c6-4851-bb92-485843800acc,2026-06-05T15:56:10,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_927969
0207dcd8-4e85-4935-b84e-9bc08ae4005d,2026-06-05T15:56:10,net-01,NETWORK,NORMAL_TRAFFIC,LOW,10.0.1.58,10.0.0.40,161,,200,dns query,sess_584612
efed9cf8-78ce-41cb-8818-4957708f7679,2026-06-05T15:56:11,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_482597
5edb913f-028f-4463-99c7-f076c46ed056,2026-06-05T15:56:11,app-01,APPLICATION,USER_UPDATE,LOW,10.0.1.155,10.0.0.30,8080,POST,204,preferences saved,sess_999376
29db660d-3519-4538-b6da-f687279886d4,2026-06-05T15:56:12,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_833173
52097c17-c178-4c26-a852-1cd2e1a1e5bc,2026-06-05T15:56:12,app-01,APPLICATION,USER_UPDATE,LOW,10.0.1.216,10.0.0.30,8080,PATCH,204,role unchanged,sess_665617
88d72510-f4dc-4cef-b9f3-9222779d50de,2026-06-05T15:56:13,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_118691
27ee956d-886a-49c8-b48c-ffe9298a60c5,2026-06-05T15:56:13,fw-01,FIREWALL,ALLOWED_CONNECTION,LOW,10.0.1.113,10.0.0.1,8080,,200,stateful allow,sess_235524
f7afaa13-d786-40b4-8dd9-42f183ed2b86,2026-06-05T15:56:14,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_934373
4c8c43f3-048d-4c16-9384-4100d0d37fd9,2026-06-05T15:56:14,auth-01,AUTH,LOGIN_SUCCESS,LOW,10.0.1.96,10.0.0.20,22,,200,interactive login,sess_601935
055ccb9e-8a10-4b71-8070-97caae27bf08,2026-06-05T15:56:15,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_170569
dcfa2958-afbf-4925-af0a-46cab39f8dc1,2026-06-05T15:56:15,auth-02,AUTH,LOGIN_SUCCESS,LOW,10.0.1.171,10.0.0.21,22,,200,interactive login,sess_221830
f5c17cd8-763c-4879-88e0-eeb42d2fa861,2026-06-05T15:56:16,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_117973
9a92d38a-1023-4396-86fd-8310cb0fd928,2026-06-05T15:56:16,auth-02,AUTH,LOGIN_SUCCESS,LOW,10.0.1.204,10.0.0.21,22,,200,interactive login,sess_366630
